speaker,file_id,wav_path,ann_path
RRBI,arctic_a0060,data/l2arctic_release_v5.0/RRBI/wav/arctic_a0060.wav,data/l2arctic_release_v5.0/RRBI/annotation/arctic_a0060.TextGrid
PNV,arctic_a0131,data/l2arctic_release_v5.0/PNV/wav/arctic_a0131.wav,data/l2arctic_release_v5.0/PNV/annotation/arctic_a0131.TextGrid
BWC,arctic_a0030,data/l2arctic_release_v5.0/BWC/wav/arctic_a0030.wav,data/l2arctic_release_v5.0/BWC/annotation/arctic_a0030.TextGrid
SVBI,arctic_a0099,data/l2arctic_release_v5.0/SVBI/wav/arctic_a0099.wav,data/l2arctic_release_v5.0/SVBI/annotation/arctic_a0099.TextGrid
ABA,arctic_a0127,data/l2arctic_release_v5.0/ABA/wav/arctic_a0127.wav,data/l2arctic_release_v5.0/ABA/annotation/arctic_a0127.TextGrid
TNI,arctic_a0255,data/l2arctic_release_v5.0/TNI/wav/arctic_a0255.wav,data/l2arctic_release_v5.0/TNI/annotation/arctic_a0255.TextGrid
HKK,arctic_a0106,data/l2arctic_release_v5.0/HKK/wav/arctic_a0106.wav,data/l2arctic_release_v5.0/HKK/annotation/arctic_a0106.TextGrid
TXHC,arctic_b0509,data/l2arctic_release_v5.0/TXHC/wav/arctic_b0509.wav,data/l2arctic_release_v5.0/TXHC/annotation/arctic_b0509.TextGrid
BWC,arctic_a0519,data/l2arctic_release_v5.0/BWC/wav/arctic_a0519.wav,data/l2arctic_release_v5.0/BWC/annotation/arctic_a0519.TextGrid
ASI,arctic_a0051,data/l2arctic_release_v5.0/ASI/wav/arctic_a0051.wav,data/l2arctic_release_v5.0/ASI/annotation/arctic_a0051.TextGrid
LXC,arctic_a0088,data/l2arctic_release_v5.0/LXC/wav/arctic_a0088.wav,data/l2arctic_release_v5.0/LXC/annotation/arctic_a0088.TextGrid
TNI,arctic_a0410,data/l2arctic_release_v5.0/TNI/wav/arctic_a0410.wav,data/l2arctic_release_v5.0/TNI/annotation/arctic_a0410.TextGrid
ASI,arctic_a0188,data/l2arctic_release_v5.0/ASI/wav/arctic_a0188.wav,data/l2arctic_release_v5.0/ASI/annotation/arctic_a0188.TextGrid
HKK,arctic_a0103,data/l2arctic_release_v5.0/HKK/wav/arctic_a0103.wav,data/l2arctic_release_v5.0/HKK/annotation/arctic_a0103.TextGrid
TLV,arctic_b0140,data/l2arctic_release_v5.0/TLV/wav/arctic_b0140.wav,data/l2arctic_release_v5.0/TLV/annotation/arctic_b0140.TextGrid
ERMS,arctic_a0095,data/l2arctic_release_v5.0/ERMS/wav/arctic_a0095.wav,data/l2arctic_release_v5.0/ERMS/annotation/arctic_a0095.TextGrid
THV,arctic_a0127,data/l2arctic_release_v5.0/THV/wav/arctic_a0127.wav,data/l2arctic_release_v5.0/THV/annotation/arctic_a0127.TextGrid
TLV,arctic_b0503,data/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,data/l2arctic_release_v5.0/TLV/annotation/arctic_b0503.TextGrid
MBMPS,arctic_a0007,data/l2arctic_release_v5.0/MBMPS/wav/arctic_a0007.wav,data/l2arctic_release_v5.0/MBMPS/annotation/arctic_a0007.TextGrid
YBAA,arctic_b0469,data/l2arctic_release_v5.0/YBAA/wav/arctic_b0469.wav,data/l2arctic_release_v5.0/YBAA/annotation/arctic_b0469.TextGrid
TNI,arctic_a0136,data/l2arctic_release_v5.0/TNI/wav/arctic_a0136.wav,data/l2arctic_release_v5.0/TNI/annotation/arctic_a0136.TextGrid
PNV,arctic_a0023,data/l2arctic_release_v5.0/PNV/wav/arctic_a0023.wav,data/l2arctic_release_v5.0/PNV/annotation/arctic_a0023.TextGrid
NCC,arctic_b0358,data/l2arctic_release_v5.0/NCC/wav/arctic_b0358.wav,data/l2arctic_release_v5.0/NCC/annotation/arctic_b0358.TextGrid
TNI,arctic_a0081,data/l2arctic_release_v5.0/TNI/wav/arctic_a0081.wav,data/l2arctic_release_v5.0/TNI/annotation/arctic_a0081.TextGrid
LXC,arctic_a0054,data/l2arctic_release_v5.0/LXC/wav/arctic_a0054.wav,data/l2arctic_release_v5.0/LXC/annotation/arctic_a0054.TextGrid
ASI,arctic_a0003,data/l2arctic_release_v5.0/ASI/wav/arctic_a0003.wav,data/l2arctic_release_v5.0/ASI/annotation/arctic_a0003.TextGrid
SVBI,arctic_a0301,data/l2arctic_release_v5.0/SVBI/wav/arctic_a0301.wav,data/l2arctic_release_v5.0/SVBI/annotation/arctic_a0301.TextGrid
SVBI,arctic_a0109,data/l2arctic_release_v5.0/SVBI/wav/arctic_a0109.wav,data/l2arctic_release_v5.0/SVBI/annotation/arctic_a0109.TextGrid
NJS,arctic_a0227,data/l2arctic_release_v5.0/NJS/wav/arctic_a0227.wav,data/l2arctic_release_v5.0/NJS/annotation/arctic_a0227.TextGrid
TXHC,arctic_b0422,data/l2arctic_release_v5.0/TXHC/wav/arctic_b0422.wav,data/l2arctic_release_v5.0/TXHC/annotation/arctic_b0422.TextGrid
YDCK,arctic_a0041,data/l2arctic_release_v5.0/YDCK/wav/arctic_a0041.wav,data/l2arctic_release_v5.0/YDCK/annotation/arctic_a0041.TextGrid
THV,arctic_a0085,data/l2arctic_release_v5.0/THV/wav/arctic_a0085.wav,data/l2arctic_release_v5.0/THV/annotation/arctic_a0085.TextGrid
NCC,arctic_a0023,data/l2arctic_release_v5.0/NCC/wav/arctic_a0023.wav,data/l2arctic_release_v5.0/NCC/annotation/arctic_a0023.TextGrid
BWC,arctic_a0115,data/l2arctic_release_v5.0/BWC/wav/arctic_a0115.wav,data/l2arctic_release_v5.0/BWC/annotation/arctic_a0115.TextGrid
EBVS,arctic_a0154,data/l2arctic_release_v5.0/EBVS/wav/arctic_a0154.wav,data/l2arctic_release_v5.0/EBVS/annotation/arctic_a0154.TextGrid
YBAA,arctic_a0548,data/l2arctic_release_v5.0/YBAA/wav/arctic_a0548.wav,data/l2arctic_release_v5.0/YBAA/annotation/arctic_a0548.TextGrid
NCC,arctic_a0046,data/l2arctic_release_v5.0/NCC/wav/arctic_a0046.wav,data/l2arctic_release_v5.0/NCC/annotation/arctic_a0046.TextGrid
HJK,arctic_a0271,data/l2arctic_release_v5.0/HJK/wav/arctic_a0271.wav,data/l2arctic_release_v5.0/HJK/annotation/arctic_a0271.TextGrid
YDCK,arctic_a0379,data/l2arctic_release_v5.0/YDCK/wav/arctic_a0379.wav,data/l2arctic_release_v5.0/YDCK/annotation/arctic_a0379.TextGrid
RRBI,arctic_a0077,data/l2arctic_release_v5.0/RRBI/wav/arctic_a0077.wav,data/l2arctic_release_v5.0/RRBI/annotation/arctic_a0077.TextGrid
ERMS,arctic_a0005,data/l2arctic_release_v5.0/ERMS/wav/arctic_a0005.wav,data/l2arctic_release_v5.0/ERMS/annotation/arctic_a0005.TextGrid
ERMS,arctic_a0039,data/l2arctic_release_v5.0/ERMS/wav/arctic_a0039.wav,data/l2arctic_release_v5.0/ERMS/annotation/arctic_a0039.TextGrid
HKK,arctic_a0042,data/l2arctic_release_v5.0/HKK/wav/arctic_a0042.wav,data/l2arctic_release_v5.0/HKK/annotation/arctic_a0042.TextGrid
HJK,arctic_a0010,data/l2arctic_release_v5.0/HJK/wav/arctic_a0010.wav,data/l2arctic_release_v5.0/HJK/annotation/arctic_a0010.TextGrid
ZHAA,arctic_a0021,data/l2arctic_release_v5.0/ZHAA/wav/arctic_a0021.wav,data/l2arctic_release_v5.0/ZHAA/annotation/arctic_a0021.TextGrid
LXC,arctic_a0434,data/l2arctic_release_v5.0/LXC/wav/arctic_a0434.wav,data/l2arctic_release_v5.0/LXC/annotation/arctic_a0434.TextGrid
ABA,arctic_a0025,data/l2arctic_release_v5.0/ABA/wav/arctic_a0025.wav,data/l2arctic_release_v5.0/ABA/annotation/arctic_a0025.TextGrid
NJS,arctic_a0075,data/l2arctic_release_v5.0/NJS/wav/arctic_a0075.wav,data/l2arctic_release_v5.0/NJS/annotation/arctic_a0075.TextGrid
ASI,arctic_b0158,data/l2arctic_release_v5.0/ASI/wav/arctic_b0158.wav,data/l2arctic_release_v5.0/ASI/annotation/arctic_b0158.TextGrid
TXHC,arctic_b0393,data/l2arctic_release_v5.0/TXHC/wav/arctic_b0393.wav,data/l2arctic_release_v5.0/TXHC/annotation/arctic_b0393.TextGrid
